# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.31
1                       2.31
2                       2.31
4                       2.31
8                       2.31
16                      2.32
32                      2.49
64                      2.88
128                     2.92
256                     3.70
512                     3.74
1024                    4.23
2048                    4.56
4096                    5.65
8192                    6.54
16384                   7.69
32768                   9.20
65536                  12.46
131072                 19.65
262144                 31.06
524288                 52.10
1048576                94.51
2097152               179.62
4194304               349.30
