# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.36
1                       2.36
2                       2.36
4                       2.36
8                       2.36
16                      2.37
32                      2.57
64                      2.86
128                     2.89
256                     3.40
512                     3.79
1024                    4.16
2048                    4.40
4096                    5.43
8192                    6.07
16384                   7.07
32768                   9.20
65536                  12.64
131072                 19.99
262144                 31.20
524288                 52.48
1048576                94.76
2097152               179.87
4194304               349.60
