# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.38
2                       4.77
4                       9.53
8                      19.05
16                     38.09
32                     76.16
64                    167.02
128                   333.00
256                   563.41
512                  1124.53
1024                 2135.60
2048                 4237.78
4096                 6144.67
8192                 8798.81
16384                9143.74
32768                9594.17
65536               11994.23
131072              12142.70
262144              12240.00
524288              12292.75
1048576             12319.52
2097152             12332.44
4194304             12339.20
