# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.36
1                       2.36
2                       2.36
4                       2.36
8                       2.36
16                      2.37
32                      2.57
64                      2.86
128                     2.90
256                     3.40
512                     3.65
1024                    4.35
2048                    4.42
4096                    5.43
8192                    6.12
16384                   7.09
32768                   9.24
65536                  12.71
131072                 20.07
262144                 31.14
524288                 52.48
1048576                94.81
2097152               179.99
4194304               349.64
