# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.82
1                       1.81
2                       1.81
4                       1.82
8                       1.82
16                      1.82
32                      1.98
64                      2.36
128                     2.40
256                     3.18
512                     3.21
1024                    3.73
2048                    4.03
4096                    4.91
8192                    5.69
16384                   6.58
32768                   8.50
65536                  11.78
131072                 18.95
262144                 28.83
524288                 49.81
1048576                92.55
2097152               177.54
4194304               347.41
