,ranks,experiment,iteration,time_seconds,nodes,percent_cpu_utilization
223,512,bare-metal,16,14.0,32,99.5
224,128,bare-metal,13,45.0,8,99.7
225,512,bare-metal,17,14.0,32,99.5
226,64,bare-metal,19,82.0,4,99.8
227,512,bare-metal,2,14.0,32,99.5
228,128,bare-metal,17,45.0,8,99.7
229,128,bare-metal,19,45.0,8,99.7
230,256,bare-metal,13,25.0,16,99.6
231,64,bare-metal,4,82.0,4,99.8
232,128,bare-metal,16,45.0,8,99.7
233,128,bare-metal,5,45.0,8,99.7
234,128,bare-metal,10,45.0,8,99.7
235,128,bare-metal,14,45.0,8,99.7
236,128,bare-metal,15,45.0,8,99.7
237,256,bare-metal,17,25.0,16,99.6
238,512,bare-metal,7,14.0,32,99.5
239,128,bare-metal,20,45.0,8,99.7
240,64,usernetes,7,83.0,4,99.7
241,64,usernetes,11,83.0,4,99.7
242,64,usernetes,9,83.0,4,99.7
243,256,usernetes,12,27.0,16,99.6
244,256,usernetes,2,27.0,16,99.6
245,512,usernetes,14,16.0,32,99.6
246,512,usernetes,15,16.0,32,99.6
247,512,usernetes,6,16.0,32,99.6
248,512,usernetes,18,17.0,32,99.6
249,256,usernetes,4,26.0,16,99.6
250,256,usernetes,20,27.0,16,99.6
251,256,usernetes,18,27.0,16,99.6
252,256,usernetes,16,27.0,16,99.6
253,256,usernetes,7,27.0,16,99.6
254,64,usernetes,2,83.0,4,99.7
255,512,usernetes,4,17.0,32,99.6
256,512,usernetes,1,16.0,32,99.6
257,128,usernetes,1,46.0,8,99.7
258,64,usernetes,6,83.0,4,99.7
259,256,usernetes,15,27.0,16,99.6
260,256,usernetes,5,27.0,16,99.6
261,64,usernetes,17,83.0,4,99.7
262,128,usernetes,18,46.0,8,99.7
263,512,usernetes,12,16.0,32,99.6
264,64,usernetes,18,83.0,4,99.7
265,256,usernetes,9,27.0,16,99.6
266,256,usernetes,19,27.0,16,99.6
267,128,usernetes,8,46.0,8,99.7
268,512,usernetes,11,16.0,32,99.6
269,64,usernetes,3,83.0,4,99.7
270,64,usernetes,10,83.0,4,99.7
271,64,usernetes,16,83.0,4,99.7
272,64,usernetes,8,83.0,4,99.7
273,128,usernetes,6,46.0,8,99.7
274,256,usernetes,14,27.0,16,99.6
275,512,usernetes,13,16.0,32,99.6
276,128,usernetes,3,46.0,8,99.7
277,128,usernetes,11,46.0,8,99.7
278,128,usernetes,9,46.0,8,99.7
279,64,usernetes,1,101.0,4,99.3
280,512,usernetes,20,16.0,32,99.6
281,256,usernetes,8,27.0,16,99.6
282,64,usernetes,5,83.0,4,99.7
283,256,usernetes,3,27.0,16,99.6
284,512,usernetes,8,16.0,32,99.6
285,64,usernetes,14,83.0,4,99.7
286,512,usernetes,3,16.0,32,99.6
287,128,usernetes,4,46.0,8,99.7
288,128,usernetes,2,46.0,8,99.7
289,256,usernetes,6,26.0,16,99.6
290,64,usernetes,12,83.0,4,99.7
291,128,usernetes,7,46.0,8,99.7
292,128,usernetes,12,46.0,8,99.7
293,64,usernetes,13,83.0,4,99.7
294,512,usernetes,9,16.0,32,99.6
295,64,usernetes,20,83.0,4,99.7
296,256,usernetes,1,26.0,16,99.6
297,512,usernetes,19,16.0,32,99.6
298,512,usernetes,10,16.0,32,99.6
299,64,usernetes,15,83.0,4,99.7
300,256,usernetes,11,27.0,16,99.6
301,256,usernetes,10,27.0,16,99.6
302,512,usernetes,5,42.0,32,99.6
303,512,usernetes,16,16.0,32,99.6
304,128,usernetes,13,46.0,8,99.7
305,512,usernetes,17,16.0,32,99.6
306,64,usernetes,19,83.0,4,99.7
307,512,usernetes,2,16.0,32,99.6
308,128,usernetes,17,46.0,8,99.7
309,128,usernetes,19,46.0,8,99.7
310,256,usernetes,13,27.0,16,99.6
311,64,usernetes,4,83.0,4,99.7
312,128,usernetes,16,46.0,8,99.7
313,128,usernetes,5,46.0,8,99.7
314,128,usernetes,10,46.0,8,99.7
315,128,usernetes,14,46.0,8,99.7
316,128,usernetes,15,46.0,8,99.7
317,256,usernetes,17,27.0,16,99.6
318,512,usernetes,7,16.0,32,99.6
319,128,usernetes,20,46.0,8,99.7
320,64,container-with-usernetes,7,83.0,4,99.6
321,64,container-with-usernetes,11,82.0,4,99.6
322,64,container-with-usernetes,9,82.0,4,99.6
323,256,container-with-usernetes,12,26.0,16,99.4
