
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.82
8                      23.97
16                     24.05
32                     25.13
64                     27.42
128                    31.47
256                    31.45
512                    35.01
1024                   37.45
2048                   49.07
4096                   61.54
8192                 1950.60
16384                 159.85
32768                2044.45
65536                 252.12
131072               1424.98
262144                464.25
524288               1013.22
1048576              2011.18
