
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.75
8                      24.04
16                     24.15
32                     25.16
64                     29.74
128                    31.55
256                    31.62
512                    35.06
1024                   37.67
2048                   49.54
4096                   61.41
8192                 1958.48
16384                 158.89
32768                2048.68
65536                 248.11
131072               1428.34
262144                464.13
524288               1012.48
1048576              2016.31
