
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      25.27
8                      23.94
16                     24.18
32                     25.18
64                     27.39
128                    31.48
256                    31.49
512                    33.54
1024                   37.36
2048                   48.62
4096                   61.24
8192                 1963.78
16384                 158.28
32768                2048.48
65536                 251.17
131072               1431.25
262144                465.51
524288               1007.68
1048576              2016.21
