
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.56
8                      25.19
16                     24.06
32                     25.43
64                     27.61
128                    31.40
256                    31.87
512                    36.51
1024                   37.43
2048                   49.08
4096                   61.40
8192                 1951.29
16384                 163.23
32768                2042.30
65536                 250.05
131072               1422.02
262144                464.16
524288               1001.33
1048576              2009.56
