
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.83
8                      23.92
16                     23.99
32                     25.13
64                     27.35
128                    32.55
256                    31.49
512                    33.42
1024                   37.60
2048                   48.86
4096                   61.55
8192                 1955.64
16384                 158.43
32768                2039.67
65536                 251.30
131072               1424.08
262144                461.55
524288               1006.55
1048576              2008.32
