
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.97
8                      24.00
16                     24.50
32                     25.15
64                     28.72
128                    31.39
256                    31.57
512                    33.53
1024                   37.61
2048                   49.05
4096                   61.18
8192                 1950.94
16384                 159.26
32768                2036.22
65536                 248.51
131072               1428.16
262144                462.20
524288               1011.32
1048576              2008.01
