
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.59
8                      23.88
16                     24.03
32                     25.08
64                     27.55
128                    31.49
256                    32.30
512                    34.27
1024                   39.22
2048                   48.86
4096                   62.20
8192                 1957.53
16384                 160.86
32768                2037.44
65536                 253.50
131072               1433.56
262144                460.95
524288               1006.66
1048576              2006.81
