
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.99
8                      24.38
16                     23.94
32                     25.23
64                     27.57
128                    31.40
256                    31.56
512                    33.68
1024                   37.72
2048                   49.85
4096                   61.51
8192                 1961.57
16384                 163.54
32768                2048.91
65536                 254.65
131072               1421.36
262144                462.72
524288               1008.71
1048576              2021.20
