
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.31
8                      19.23
16                     18.98
32                     20.35
64                     21.89
128                    24.27
256                    26.90
512                    29.58
1024                   33.32
2048                   36.11
4096                   82.24
8192                   82.57
16384                  91.36
32768                 116.66
65536                 161.05
131072                240.11
262144                438.67
524288               1016.58
1048576              2038.40
