
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.36
8                      19.01
16                     18.92
32                     20.52
64                     22.07
128                    24.20
256                    26.96
512                    29.61
1024                   32.93
2048                   36.35
4096                   82.26
8192                   86.62
16384                 101.21
32768                 122.41
65536                 162.67
131072                242.27
262144                438.70
524288               1046.62
1048576              2044.71
