
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.30
8                      19.13
16                     20.93
32                     20.52
64                     21.92
128                    24.38
256                    26.97
512                    29.43
1024                   33.13
2048                   36.11
4096                   82.00
8192                   82.27
16384                  93.72
32768                 122.45
65536                 161.64
131072                236.94
262144                439.72
524288               1022.76
1048576              2040.71
