
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.27
8                      20.04
16                     19.72
32                     20.10
64                     21.64
128                    24.13
256                    27.08
512                    29.62
1024                   32.82
2048                   36.07
4096                   84.85
8192                   82.36
16384                  91.88
32768                 118.14
65536                 167.94
131072                244.06
262144                439.00
524288               1024.66
1048576              2032.93
