
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.53
8                      19.41
16                     18.95
32                     20.27
64                     21.95
128                    24.13
256                    26.87
512                    29.48
1024                   33.31
2048                   36.03
4096                   82.09
8192                   82.19
16384                  91.40
32768                 118.74
65536                 161.36
131072                253.85
262144                439.10
524288               1014.96
1048576              2034.22
