
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.10
8                      61.02
16                     30.15
32                     43.79
64                     36.49
128                    37.63
256                    36.87
512                    46.39
1024                   46.53
2048                  191.53
4096                  215.85
8192                  222.71
16384                 129.33
32768                 163.80
65536                 192.30
131072                323.40
262144                626.82
524288               1226.74
1048576              3454.52
