
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      68.13
8                      42.86
16                     75.63
32                     64.90
64                    195.87
128                   234.92
256                   223.70
512                    68.70
1024                   49.01
2048                   69.84
4096                  107.48
8192                  223.44
16384                 119.37
32768                 196.84
65536                 202.81
131072                329.89
262144                603.60
524288               1510.91
1048576              4276.53
