
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      65.67
8                     103.77
16                    168.55
32                     50.09
64                    102.55
128                    83.44
256                    97.97
512                   130.80
1024                  214.66
2048                  202.52
4096                  138.52
8192                  204.54
16384                 110.21
32768                 141.55
65536                 223.77
131072                345.20
262144                619.64
524288               1302.53
1048576              2286.40
