
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      79.60
8                      74.92
16                    103.60
32                    333.87
64                     45.82
128                    40.99
256                    75.90
512                    49.78
1024                   42.99
2048                   84.70
4096                  101.35
8192                  382.54
16384                 115.69
32768                 378.03
65536                 199.63
131072                357.71
262144                594.34
524288               1351.89
1048576              2542.46
