
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      57.16
8                     163.02
16                    232.70
32                     52.61
64                     33.89
128                    61.06
256                    47.11
512                    39.78
1024                   44.89
2048                   70.54
4096                  156.47
8192                  569.78
16384                 166.90
32768                 186.38
65536                 255.64
131072                355.33
262144                561.99
524288               1236.26
1048576              2986.79
