
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      91.25
8                      97.13
16                    108.79
32                    389.75
64                     73.68
128                    48.87
256                    44.26
512                    64.75
1024                   46.09
2048                   69.07
4096                  114.04
8192                  351.13
16384                 289.64
32768                 219.63
65536                 409.25
131072                736.89
262144               1213.94
524288               1624.23
1048576              3619.31
