
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.04
8                      30.67
16                     31.48
32                     31.21
64                     35.04
128                    37.36
256                    40.73
512                    44.43
1024                   50.66
2048                   76.68
4096                   93.66
8192                  184.30
16384                 124.87
32768                 144.94
65536                 203.78
131072                308.96
262144                490.78
524288               1046.71
1048576              2087.23
