
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.52
8                      30.19
16                     32.58
32                     32.52
64                     33.92
128                    39.28
256                    40.82
512                    45.51
1024                   48.35
2048                   77.50
4096                   93.61
8192                  183.01
16384                 124.99
32768                 145.70
65536                 194.34
131072                307.20
262144                481.47
524288               1047.18
1048576              2063.56
