
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.34
8                      29.95
16                     29.93
32                     31.56
64                     38.17
128                    37.54
256                    43.08
512                    44.47
1024                   48.51
2048                   75.54
4096                   95.19
8192                  186.29
16384                 124.97
32768                 146.85
65536                 205.20
131072                307.02
262144                480.48
524288               1040.94
1048576              2056.71
