
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      34.00
8                      29.92
16                     29.93
32                     31.29
64                     33.91
128                    39.26
256                    40.90
512                    47.48
1024                   48.07
2048                   77.47
4096                   96.59
8192                  186.04
16384                 127.70
32768                 142.62
65536                 193.74
131072                303.99
262144                496.35
524288               1053.11
1048576              2057.39
