
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      24.23
8                      24.75
16                     24.64
32                     26.88
64                     28.21
128                    31.98
256                    32.25
512                    34.99
1024                   40.45
2048                   49.73
4096                   62.68
8192                 1917.29
16384                 158.14
32768                2021.74
65536                 249.21
131072               1404.13
262144                460.85
524288               1007.04
1048576              2012.00
