
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      24.27
8                      24.59
16                     24.68
32                     25.73
64                     28.04
128                    31.85
256                    31.92
512                    34.18
1024                   38.00
2048                   49.73
4096                   61.98
8192                 1945.54
16384                 158.47
32768                2053.20
65536                 248.44
131072               1402.58
262144                463.81
524288                997.04
1048576              2010.71
