
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      24.06
8                      24.60
16                     24.62
32                     25.74
64                     28.10
128                    31.95
256                    33.40
512                    36.18
1024                   40.27
2048                   49.88
4096                   62.02
8192                 1926.16
16384                 158.23
32768                2052.71
65536                 251.45
131072               1408.46
262144                465.14
524288               1005.94
1048576              2006.60
