
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      24.08
8                      24.68
16                     24.76
32                     25.81
64                     27.99
128                    32.40
256                    32.06
512                    34.38
1024                   38.33
2048                   49.50
4096                   61.91
8192                 1922.95
16384                 160.08
32768                2042.08
65536                 248.54
131072               1415.23
262144                465.70
524288                999.56
1048576              2007.51
