
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      25.14
8                      24.62
16                     24.67
32                     25.68
64                     28.05
128                    32.08
256                    32.16
512                    33.92
1024                   39.62
2048                   49.64
4096                   62.24
8192                 1929.58
16384                 157.63
32768                2047.45
65536                 253.35
131072               1409.68
262144                465.18
524288               1011.05
1048576              2012.53
